id,Midparent,Child,Quartile
1,64,61.7,1
2,64,63.2,1
3,64,63.2,1
4,64,64.2,1
5,64,64.2,1
6,64,64.2,1
7,64,64.2,1
8,64,65.2,1
9,64,66.2,1
10,64,66.2,1
11,64,67.2,1
12,64,67.2,1
13,64,68.2,1
14,64,69.2,1
15,64.5,61.7,1
16,64.5,62.2,1
17,64.5,63.2,1
18,64.5,63.2,1
19,64.5,63.2,1
20,64.5,63.2,1
21,64.5,64.2,1
22,64.5,64.2,1
23,64.5,64.2,1
24,64.5,64.2,1
25,64.5,65.2,1
26,64.5,66.2,1
27,64.5,66.2,1
28,64.5,66.2,1
29,64.5,66.2,1
30,64.5,66.2,1
31,64.5,67.2,1
32,64.5,67.2,1
33,64.5,67.2,1
34,64.5,67.2,1
35,64.5,67.2,1
36,64.5,69.2,1
37,64.5,69.2,1
38,65.5,61.7,1
39,65.5,63.2,1
40,65.5,63.2,1
41,65.5,63.2,1
42,65.5,63.2,1
43,65.5,63.2,1
44,65.5,63.2,1
45,65.5,63.2,1
46,65.5,63.2,1
47,65.5,63.2,1
48,65.5,64.2,1
49,65.5,64.2,1
50,65.5,64.2,1
51,65.5,64.2,1
52,65.5,64.2,1
53,65.5,65.2,1
54,65.5,65.2,1
55,65.5,65.2,1
56,65.5,65.2,1
57,65.5,65.2,1
58,65.5,65.2,1
59,65.5,65.2,1
60,65.5,66.2,1
61,65.5,66.2,1
62,65.5,66.2,1
63,65.5,66.2,1
64,65.5,66.2,1
65,65.5,66.2,1
66,65.5,66.2,1
67,65.5,66.2,1
68,65.5,66.2,1
69,65.5,66.2,1
70,65.5,66.2,1
71,65.5,67.2,1
72,65.5,67.2,1
73,65.5,67.2,1
74,65.5,67.2,1
75,65.5,67.2,1
76,65.5,67.2,1
77,65.5,67.2,1
78,65.5,67.2,1
79,65.5,67.2,1
80,65.5,67.2,1
81,65.5,67.2,1
82,65.5,68.2,1
83,65.5,68.2,1
84,65.5,68.2,1
85,65.5,68.2,1
86,65.5,68.2,1
87,65.5,68.2,1
88,65.5,68.2,1
89,65.5,69.2,1
90,65.5,69.2,1
91,65.5,69.2,1
92,65.5,69.2,1
93,65.5,69.2,1
94,65.5,69.2,1
95,65.5,69.2,1
96,65.5,70.2,1
97,65.5,70.2,1
98,65.5,70.2,1
99,65.5,70.2,1
100,65.5,70.2,1
101,65.5,71.2,1
102,65.5,71.2,1
103,65.5,72.2,1
104,66.5,62.2,1
105,66.5,62.2,1
106,66.5,62.2,1
107,66.5,63.2,1
108,66.5,63.2,1
109,66.5,63.2,1
110,66.5,64.2,1
111,66.5,64.2,1
112,66.5,64.2,1
113,66.5,64.2,1
114,66.5,64.2,1
115,66.5,65.2,1
116,66.5,65.2,1
117,66.5,66.2,1
118,66.5,66.2,1
119,66.5,66.2,1
120,66.5,66.2,1
121,66.5,66.2,1
122,66.5,66.2,1
123,66.5,66.2,1
124,66.5,66.2,1
125,66.5,66.2,1
126,66.5,66.2,1
127,66.5,66.2,1
128,66.5,66.2,1
129,66.5,66.2,1
130,66.5,66.2,1
131,66.5,66.2,1
132,66.5,66.2,1
133,66.5,66.2,1
134,66.5,67.2,1
135,66.5,67.2,1
136,66.5,67.2,1
137,66.5,67.2,1
138,66.5,67.2,1
139,66.5,67.2,1
140,66.5,67.2,1
141,66.5,67.2,1
142,66.5,67.2,1
143,66.5,67.2,1
144,66.5,67.2,1
145,66.5,67.2,1
146,66.5,67.2,1
147,66.5,67.2,1
148,66.5,67.2,1
149,66.5,67.2,1
150,66.5,67.2,1
151,66.5,68.2,1
152,66.5,68.2,1
153,66.5,68.2,1
154,66.5,68.2,1
155,66.5,68.2,1
156,66.5,68.2,1
157,66.5,68.2,1
158,66.5,68.2,1
159,66.5,68.2,1
160,66.5,68.2,1
161,66.5,68.2,1
162,66.5,68.2,1
163,66.5,68.2,1
164,66.5,68.2,1
165,66.5,69.2,1
166,66.5,69.2,1
167,66.5,69.2,1
168,66.5,69.2,1
169,66.5,69.2,1
170,66.5,69.2,1
171,66.5,69.2,1
172,66.5,69.2,1
173,66.5,69.2,1
174,66.5,69.2,1
175,66.5,69.2,1
176,66.5,69.2,1
177,66.5,69.2,1
178,66.5,70.2,1
179,66.5,70.2,1
180,66.5,70.2,1
181,66.5,70.2,1
182,67.5,62.2,1
183,67.5,62.2,1
184,67.5,62.2,1
185,67.5,63.2,1
186,67.5,63.2,1
187,67.5,63.2,1
188,67.5,63.2,1
189,67.5,63.2,1
190,67.5,64.2,1
191,67.5,64.2,1
192,67.5,64.2,1
193,67.5,64.2,1
194,67.5,64.2,1
195,67.5,64.2,1
196,67.5,64.2,1
197,67.5,64.2,1
198,67.5,64.2,1
199,67.5,64.2,1
200,67.5,64.2,1
201,67.5,64.2,1
202,67.5,64.2,1
203,67.5,64.2,1
204,67.5,65.2,1
205,67.5,65.2,1
206,67.5,65.2,1
207,67.5,65.2,1
208,67.5,65.2,1
209,67.5,65.2,1
210,67.5,65.2,1
211,67.5,65.2,1
212,67.5,65.2,1
213,67.5,65.2,1
214,67.5,65.2,1
215,67.5,65.2,1
216,67.5,65.2,1
217,67.5,65.2,1
218,67.5,65.2,1
219,67.5,66.2,1
220,67.5,66.2,1
221,67.5,66.2,1
222,67.5,66.2,1
223,67.5,66.2,1
224,67.5,66.2,1
225,67.5,66.2,1
226,67.5,66.2,1
227,67.5,66.2,1
228,67.5,66.2,1
229,67.5,66.2,1
230,67.5,66.2,1
231,67.5,66.2,1
232,67.5,66.2,1
233,67.5,66.2,1
234,67.5,66.2,1
235,67.5,66.2,1
236,67.5,66.2,1
237,67.5,66.2,1
238,67.5,66.2,1
239,67.5,66.2,1
240,67.5,66.2,1
241,67.5,66.2,1
242,67.5,66.2,1
243,67.5,66.2,1
244,67.5,66.2,1
245,67.5,66.2,1
246,67.5,66.2,1
247,67.5,66.2,1
248,67.5,66.2,1
249,67.5,66.2,1
250,67.5,66.2,1
251,67.5,66.2,1
252,67.5,66.2,1
253,67.5,66.2,1
254,67.5,66.2,1
255,67.5,67.2,1
256,67.5,67.2,1
257,67.5,67.2,1
258,67.5,67.2,1
259,67.5,67.2,1
260,67.5,67.2,1
261,67.5,67.2,1
262,67.5,67.2,1
263,67.5,67.2,1
264,67.5,67.2,1
265,67.5,67.2,1
266,67.5,67.2,1
267,67.5,67.2,1
268,67.5,67.2,1
269,67.5,67.2,1
270,67.5,67.2,1
271,67.5,67.2,1
272,67.5,67.2,1
273,67.5,67.2,1
274,67.5,67.2,1
275,67.5,67.2,1
276,67.5,67.2,1
277,67.5,67.2,1
278,67.5,67.2,1
279,67.5,67.2,1
280,67.5,67.2,1
281,67.5,67.2,1
282,67.5,67.2,1
283,67.5,67.2,1
284,67.5,67.2,1
285,67.5,67.2,1
286,67.5,67.2,1
287,67.5,67.2,1
288,67.5,67.2,1
289,67.5,67.2,1
290,67.5,67.2,1
291,67.5,67.2,1
292,67.5,67.2,1
293,67.5,68.2,1
294,67.5,68.2,1
295,67.5,68.2,1
296,67.5,68.2,1
297,67.5,68.2,1
298,67.5,68.2,1
299,67.5,68.2,1
300,67.5,68.2,1
301,67.5,68.2,1
302,67.5,68.2,1
303,67.5,68.2,1
304,67.5,68.2,1
305,67.5,68.2,1
306,67.5,68.2,1
307,67.5,68.2,1
308,67.5,68.2,1
309,67.5,68.2,1
310,67.5,68.2,1
311,67.5,68.2,1
312,67.5,68.2,1
313,67.5,68.2,1
314,67.5,68.2,1
315,67.5,68.2,1
316,67.5,68.2,1
317,67.5,68.2,1
318,67.5,68.2,1
319,67.5,68.2,1
320,67.5,68.2,1
321,67.5,69.2,1
322,67.5,69.2,1
323,67.5,69.2,1
324,67.5,69.2,1
325,67.5,69.2,1
326,67.5,69.2,1
327,67.5,69.2,1
328,67.5,69.2,1
329,67.5,69.2,1
330,67.5,69.2,1
331,67.5,69.2,1
332,67.5,69.2,1
333,67.5,69.2,1
334,67.5,69.2,1
335,67.5,69.2,1
336,67.5,69.2,1
337,67.5,69.2,1
338,67.5,69.2,1
339,67.5,69.2,1
340,67.5,69.2,1
341,67.5,69.2,1
342,67.5,69.2,1
343,67.5,69.2,1
344,67.5,69.2,1
345,67.5,69.2,1
346,67.5,69.2,1
347,67.5,69.2,1
348,67.5,69.2,1
349,67.5,69.2,1
350,67.5,69.2,1
351,67.5,69.2,1
352,67.5,69.2,1
353,67.5,69.2,1
354,67.5,69.2,1
355,67.5,69.2,1
356,67.5,69.2,1
357,67.5,69.2,1
358,67.5,69.2,1
359,67.5,70.2,1
360,67.5,70.2,1
361,67.5,70.2,1
362,67.5,70.2,1
363,67.5,70.2,1
364,67.5,70.2,1
365,67.5,70.2,1
366,67.5,70.2,1
367,67.5,70.2,1
368,67.5,70.2,1
369,67.5,70.2,1
370,67.5,70.2,1
371,67.5,70.2,1
372,67.5,70.2,1
373,67.5,70.2,1
374,67.5,70.2,1
375,67.5,70.2,1
376,67.5,70.2,1
377,67.5,70.2,1
378,67.5,71.2,1
379,67.5,71.2,1
380,67.5,71.2,1
381,67.5,71.2,1
382,67.5,71.2,1
383,67.5,71.2,1
384,67.5,71.2,1
385,67.5,71.2,1
386,67.5,71.2,1
387,67.5,71.2,1
388,67.5,71.2,1
389,67.5,72.2,1
390,67.5,72.2,1
391,67.5,72.2,1
392,67.5,72.2,1
393,68.5,61.7,2
394,68.5,63.2,2
395,68.5,63.2,2
396,68.5,63.2,2
397,68.5,63.2,2
398,68.5,63.2,2
399,68.5,63.2,2
400,68.5,63.2,2
401,68.5,64.2,2
402,68.5,64.2,2
403,68.5,64.2,2
404,68.5,64.2,2
405,68.5,64.2,2
406,68.5,64.2,2
407,68.5,64.2,2
408,68.5,64.2,2
409,68.5,64.2,2
410,68.5,64.2,2
411,68.5,64.2,2
412,68.5,65.2,2
413,68.5,65.2,2
414,68.5,65.2,2
415,68.5,65.2,2
416,68.5,65.2,2
417,68.5,65.2,2
418,68.5,65.2,2
419,68.5,65.2,2
420,68.5,65.2,2
421,68.5,65.2,2
422,68.5,65.2,2
423,68.5,65.2,2
424,68.5,65.2,2
425,68.5,65.2,2
426,68.5,65.2,2
427,68.5,65.2,2
428,68.5,66.2,2
429,68.5,66.2,2
430,68.5,66.2,2
431,68.5,66.2,2
432,68.5,66.2,2
433,68.5,66.2,2
434,68.5,66.2,2
435,68.5,66.2,2
436,68.5,66.2,2
437,68.5,66.2,2
438,68.5,66.2,2
439,68.5,66.2,2
440,68.5,66.2,2
441,68.5,66.2,2
442,68.5,66.2,2
443,68.5,66.2,2
444,68.5,66.2,2
445,68.5,66.2,2
446,68.5,66.2,2
447,68.5,66.2,2
448,68.5,66.2,2
449,68.5,66.2,2
450,68.5,66.2,2
451,68.5,66.2,2
452,68.5,66.2,2
453,68.5,67.2,2
454,68.5,67.2,2
455,68.5,67.2,2
456,68.5,67.2,2
457,68.5,67.2,2
458,68.5,67.2,2
459,68.5,67.2,2
460,68.5,67.2,2
461,68.5,67.2,2
462,68.5,67.2,2
463,68.5,67.2,2
464,68.5,67.2,2
465,68.5,67.2,2
466,68.5,67.2,2
467,68.5,67.2,2
468,68.5,67.2,2
469,68.5,67.2,2
470,68.5,67.2,2
471,68.5,67.2,2
472,68.5,67.2,2
473,68.5,67.2,2
474,68.5,67.2,2
475,68.5,67.2,2
476,68.5,67.2,2
477,68.5,67.2,2
478,68.5,67.2,2
479,68.5,67.2,2
480,68.5,67.2,2
481,68.5,67.2,2
482,68.5,67.2,2
483,68.5,67.2,2
484,68.5,68.2,2
485,68.5,68.2,2
486,68.5,68.2,2
487,68.5,68.2,2
488,68.5,68.2,2
489,68.5,68.2,2
490,68.5,68.2,2
491,68.5,68.2,2
492,68.5,68.2,2
493,68.5,68.2,2
494,68.5,68.2,2
495,68.5,68.2,2
496,68.5,68.2,2
497,68.5,68.2,2
498,68.5,68.2,2
499,68.5,68.2,2
500,68.5,68.2,2
501,68.5,68.2,2
502,68.5,68.2,2
503,68.5,68.2,2
504,68.5,68.2,2
505,68.5,68.2,2
506,68.5,68.2,2
507,68.5,68.2,2
508,68.5,68.2,2
509,68.5,68.2,2
510,68.5,68.2,2
511,68.5,68.2,2
512,68.5,68.2,2
513,68.5,68.2,2
514,68.5,68.2,2
515,68.5,68.2,2
516,68.5,68.2,2
517,68.5,68.2,2
518,68.5,69.2,2
519,68.5,69.2,2
520,68.5,69.2,2
521,68.5,69.2,2
522,68.5,69.2,2
523,68.5,69.2,2
524,68.5,69.2,2
525,68.5,69.2,2
526,68.5,69.2,2
527,68.5,69.2,2
528,68.5,69.2,2
529,68.5,69.2,2
530,68.5,69.2,2
531,68.5,69.2,2
532,68.5,69.2,2
533,68.5,69.2,2
534,68.5,69.2,2
535,68.5,69.2,2
536,68.5,69.2,2
537,68.5,69.2,2
538,68.5,69.2,2
539,68.5,69.2,2
540,68.5,69.2,2
541,68.5,69.2,2
542,68.5,69.2,2
543,68.5,69.2,2
544,68.5,69.2,2
545,68.5,69.2,2
546,68.5,69.2,2
547,68.5,69.2,2
548,68.5,69.2,2
549,68.5,69.2,2
550,68.5,69.2,2
551,68.5,69.2,2
552,68.5,69.2,2
553,68.5,69.2,2
554,68.5,69.2,2
555,68.5,69.2,2
556,68.5,69.2,2
557,68.5,69.2,2
558,68.5,69.2,2
559,68.5,69.2,2
560,68.5,69.2,2
561,68.5,69.2,2
562,68.5,69.2,2
563,68.5,69.2,2
564,68.5,69.2,2
565,68.5,69.2,2
566,68.5,70.2,2
567,68.5,70.2,2
568,68.5,70.2,2
569,68.5,70.2,2
570,68.5,70.2,2
571,68.5,70.2,2
572,68.5,70.2,2
573,68.5,70.2,2
574,68.5,70.2,2
575,68.5,70.2,2
576,68.5,70.2,2
577,68.5,70.2,2
578,68.5,70.2,2
579,68.5,70.2,2
580,68.5,70.2,2
581,68.5,70.2,2
582,68.5,70.2,2
583,68.5,70.2,2
584,68.5,70.2,2
585,68.5,70.2,2
586,68.5,70.2,2
587,68.5,71.2,2
588,68.5,71.2,2
589,68.5,71.2,2
590,68.5,71.2,2
591,68.5,71.2,2
592,68.5,71.2,2
593,68.5,71.2,2
594,68.5,71.2,2
595,68.5,71.2,2
596,68.5,71.2,2
597,68.5,71.2,2
598,68.5,71.2,2
599,68.5,71.2,2
600,68.5,71.2,2
601,68.5,71.2,2
602,68.5,71.2,2
603,68.5,71.2,2
604,68.5,71.2,2
605,68.5,72.2,2
606,68.5,72.2,2
607,68.5,72.2,2
608,68.5,72.2,2
609,68.5,73.2,2
610,68.5,73.2,2
611,68.5,73.2,2
612,69.5,63.2,3
613,69.5,64.2,3
614,69.5,64.2,3
615,69.5,64.2,3
616,69.5,64.2,3
617,69.5,64.2,3
618,69.5,64.2,3
619,69.5,64.2,3
620,69.5,64.2,3
621,69.5,64.2,3
622,69.5,64.2,3
623,69.5,64.2,3
624,69.5,64.2,3
625,69.5,64.2,3
626,69.5,64.2,3
627,69.5,64.2,3
628,69.5,64.2,3
629,69.5,65.2,3
630,69.5,65.2,3
631,69.5,65.2,3
632,69.5,65.2,3
633,69.5,66.2,3
634,69.5,66.2,3
635,69.5,66.2,3
636,69.5,66.2,3
637,69.5,66.2,3
638,69.5,66.2,3
639,69.5,66.2,3
640,69.5,66.2,3
641,69.5,66.2,3
642,69.5,66.2,3
643,69.5,66.2,3
644,69.5,66.2,3
645,69.5,66.2,3
646,69.5,66.2,3
647,69.5,66.2,3
648,69.5,66.2,3
649,69.5,66.2,3
650,69.5,67.2,3
651,69.5,67.2,3
652,69.5,67.2,3
653,69.5,67.2,3
654,69.5,67.2,3
655,69.5,67.2,3
656,69.5,67.2,3
657,69.5,67.2,3
658,69.5,67.2,3
659,69.5,67.2,3
660,69.5,67.2,3
661,69.5,67.2,3
662,69.5,67.2,3
663,69.5,67.2,3
664,69.5,67.2,3
665,69.5,67.2,3
666,69.5,67.2,3
667,69.5,67.2,3
668,69.5,67.2,3
669,69.5,67.2,3
670,69.5,67.2,3
671,69.5,67.2,3
672,69.5,67.2,3
673,69.5,67.2,3
674,69.5,67.2,3
675,69.5,67.2,3
676,69.5,67.2,3
677,69.5,68.2,3
678,69.5,68.2,3
679,69.5,68.2,3
680,69.5,68.2,3
681,69.5,68.2,3
682,69.5,68.2,3
683,69.5,68.2,3
684,69.5,68.2,3
685,69.5,68.2,3
686,69.5,68.2,3
687,69.5,68.2,3
688,69.5,68.2,3
689,69.5,68.2,3
690,69.5,68.2,3
691,69.5,68.2,3
692,69.5,68.2,3
693,69.5,68.2,3
694,69.5,68.2,3
695,69.5,68.2,3
696,69.5,68.2,3
697,69.5,69.2,3
698,69.5,69.2,3
699,69.5,69.2,3
700,69.5,69.2,3
701,69.5,69.2,3
702,69.5,69.2,3
703,69.5,69.2,3
704,69.5,69.2,3
705,69.5,69.2,3
706,69.5,69.2,3
707,69.5,69.2,3
708,69.5,69.2,3
709,69.5,69.2,3
710,69.5,69.2,3
711,69.5,69.2,3
712,69.5,69.2,3
713,69.5,69.2,3
714,69.5,69.2,3
715,69.5,69.2,3
716,69.5,69.2,3
717,69.5,69.2,3
718,69.5,69.2,3
719,69.5,69.2,3
720,69.5,69.2,3
721,69.5,69.2,3
722,69.5,69.2,3
723,69.5,69.2,3
724,69.5,69.2,3
725,69.5,69.2,3
726,69.5,69.2,3
727,69.5,69.2,3
728,69.5,69.2,3
729,69.5,69.2,3
730,69.5,70.2,3
731,69.5,70.2,3
732,69.5,70.2,3
733,69.5,70.2,3
734,69.5,70.2,3
735,69.5,70.2,3
736,69.5,70.2,3
737,69.5,70.2,3
738,69.5,70.2,3
739,69.5,70.2,3
740,69.5,70.2,3
741,69.5,70.2,3
742,69.5,70.2,3
743,69.5,70.2,3
744,69.5,70.2,3
745,69.5,70.2,3
746,69.5,70.2,3
747,69.5,70.2,3
748,69.5,70.2,3
749,69.5,70.2,3
750,69.5,70.2,3
751,69.5,70.2,3
752,69.5,70.2,3
753,69.5,70.2,3
754,69.5,70.2,3
755,69.5,71.2,3
756,69.5,71.2,3
757,69.5,71.2,3
758,69.5,71.2,3
759,69.5,71.2,3
760,69.5,71.2,3
761,69.5,71.2,3
762,69.5,71.2,3
763,69.5,71.2,3
764,69.5,71.2,3
765,69.5,71.2,3
766,69.5,71.2,3
767,69.5,71.2,3
768,69.5,71.2,3
769,69.5,71.2,3
770,69.5,71.2,3
771,69.5,71.2,3
772,69.5,71.2,3
773,69.5,71.2,3
774,69.5,71.2,3
775,69.5,72.2,3
776,69.5,72.2,3
777,69.5,72.2,3
778,69.5,72.2,3
779,69.5,72.2,3
780,69.5,72.2,3
781,69.5,72.2,3
782,69.5,72.2,3
783,69.5,72.2,3
784,69.5,72.2,3
785,69.5,72.2,3
786,69.5,73.2,3
787,69.5,73.2,3
788,69.5,73.2,3
789,69.5,73.2,3
790,69.5,73.7,3
791,69.5,73.7,3
792,69.5,73.7,3
793,69.5,73.7,3
794,69.5,73.7,3
795,70.5,61.7,4
796,70.5,63.2,4
797,70.5,65.2,4
798,70.5,66.2,4
799,70.5,67.2,4
800,70.5,67.2,4
801,70.5,67.2,4
802,70.5,68.2,4
803,70.5,68.2,4
804,70.5,68.2,4
805,70.5,68.2,4
806,70.5,68.2,4
807,70.5,68.2,4
808,70.5,68.2,4
809,70.5,68.2,4
810,70.5,68.2,4
811,70.5,68.2,4
812,70.5,68.2,4
813,70.5,68.2,4
814,70.5,69.2,4
815,70.5,69.2,4
816,70.5,69.2,4
817,70.5,69.2,4
818,70.5,69.2,4
819,70.5,69.2,4
820,70.5,69.2,4
821,70.5,69.2,4
822,70.5,69.2,4
823,70.5,69.2,4
824,70.5,69.2,4
825,70.5,69.2,4
826,70.5,69.2,4
827,70.5,69.2,4
828,70.5,69.2,4
829,70.5,69.2,4
830,70.5,69.2,4
831,70.5,69.2,4
832,70.5,70.2,4
833,70.5,70.2,4
834,70.5,70.2,4
835,70.5,70.2,4
836,70.5,70.2,4
837,70.5,70.2,4
838,70.5,70.2,4
839,70.5,70.2,4
840,70.5,70.2,4
841,70.5,70.2,4
842,70.5,70.2,4
843,70.5,70.2,4
844,70.5,70.2,4
845,70.5,70.2,4
846,70.5,71.2,4
847,70.5,71.2,4
848,70.5,71.2,4
849,70.5,71.2,4
850,70.5,71.2,4
851,70.5,71.2,4
852,70.5,71.2,4
853,70.5,72.2,4
854,70.5,72.2,4
855,70.5,72.2,4
856,70.5,72.2,4
857,70.5,73.2,4
858,70.5,73.2,4
859,70.5,73.2,4
860,70.5,73.7,4
861,70.5,73.7,4
862,70.5,73.7,4
863,71.5,65.2,4
864,71.5,66.2,4
865,71.5,66.2,4
866,71.5,66.2,4
867,71.5,67.2,4
868,71.5,67.2,4
869,71.5,67.2,4
870,71.5,67.2,4
871,71.5,68.2,4
872,71.5,68.2,4
873,71.5,68.2,4
874,71.5,69.2,4
875,71.5,69.2,4
876,71.5,69.2,4
877,71.5,69.2,4
878,71.5,69.2,4
879,71.5,70.2,4
880,71.5,70.2,4
881,71.5,70.2,4
882,71.5,70.2,4
883,71.5,70.2,4
884,71.5,70.2,4
885,71.5,70.2,4
886,71.5,70.2,4
887,71.5,70.2,4
888,71.5,70.2,4
889,71.5,71.2,4
890,71.5,71.2,4
891,71.5,71.2,4
892,71.5,71.2,4
893,71.5,72.2,4
894,71.5,72.2,4
895,71.5,72.2,4
896,71.5,72.2,4
897,71.5,72.2,4
898,71.5,72.2,4
899,71.5,72.2,4
900,71.5,72.2,4
901,71.5,72.2,4
902,71.5,73.2,4
903,71.5,73.2,4
904,71.5,73.7,4
905,71.5,73.7,4
906,72.5,68.2,4
907,72.5,69.2,4
908,72.5,69.2,4
909,72.5,70.2,4
910,72.5,71.2,4
911,72.5,71.2,4
912,72.5,72.2,4
913,72.5,72.2,4
914,72.5,72.2,4
915,72.5,72.2,4
916,72.5,72.2,4
917,72.5,72.2,4
918,72.5,72.2,4
919,72.5,73.2,4
920,72.5,73.2,4
921,72.5,73.7,4
922,72.5,73.7,4
923,72.5,73.7,4
924,72.5,73.7,4
925,73,72.2,4
926,73,73.2,4
927,73,73.2,4
928,73,73.2,4
